initialization_kind,initialization_seed,iteration,total_objective,feature_raw,feature_normalized,gw_raw,gw_normalized,coverage_loss,entropy_loss,shannon_plan_entropy,gradient_norm,step_norm,source_marginal_feasibility_error,objective_improvement,learning_rate
uniform,0,0,0.9527151508703335,0.16041444350459846,0.8818613574328953,0.20215657825760994,1.0001643997329108,0.11702272287430426,-3.7514339279723656,3.7514339279723656,11.208677483575954,0.0721937974474268,8.326672684688674e-17,0.04728484912504427,0.05
uniform,0,1,0.9459455400459498,0.16155760464052168,0.8881457643046549,0.1990705632042187,0.9848964207235481,0.09424447531848308,-3.764344413738388,3.764344413738388,10.725965161340381,0.022690549298072037,8.326672684688674e-17,0.006769610824383765,0.052500000000000005
uniform,0,2,0.93141141342441,0.15908939798190835,0.8745770604720272,0.19505353396225408,0.965022273292247,0.11611746542272873,-3.6959191999254384,3.6959191999254384,10.800841855099668,0.024734279142578804,8.326672684688674e-17,0.014534126621539745,0.05512500000000001
uniform,0,3,0.8809278075733314,0.15935632579825132,0.8760444677784651,0.1750616937427641,0.8661131650899777,0.09848991139110085,-3.537033798489446,3.537033798489446,10.76938648900922,0.04368960465546245,1.1102230246251565e-16,0.05048360585107858,0.05788125000000001
uniform,0,4,0.8148322717116397,0.162335379187941,0.8924214972323091,0.1457066363905965,0.7208797842679977,0.08181630961486301,-3.36478547015539,3.36478547015539,10.902941652998202,0.05225047128439831,2.7755575615628914e-17,0.0660955358616917,0.06077531250000001
uniform,0,5,0.7494361937114888,0.16625533671740106,0.9139710472135105,0.1142099343240905,0.5650506720648312,0.09925334072317979,-3.15122631656031,3.15122631656031,11.137431600428728,0.058644893522085864,2.7755575615628914e-17,0.0653960780001509,0.06381407812500002
uniform,0,6,0.7225959306221371,0.16371871329349452,0.9000262294836895,0.10546101673784318,0.5217656304333336,0.11700000663625532,-3.0526696337846264,3.0526696337846264,11.451529197775908,0.037739550680272155,5.551115123125783e-17,0.026840263089351724,0.06700478203125003
uniform,0,7,0.7094628730799698,0.16083258903266276,0.8841600680410376,0.1025329617116748,0.5072791545398765,0.13743261789512645,-3.0067798122308136,3.0067798122308136,11.470020396971906,0.03093075947055687,2.7755575615628914e-17,0.013133057542167315,0.07035502113281253
uniform,0,8,0.6929272001442135,0.15948973481647902,0.8767778696800507,0.09684252742126141,0.4791258792651124,0.14975325671632006,-2.944826647127933,2.944826647127933,11.433001469800661,0.033105490914785755,2.7755575615628914e-17,0.016535672935756307,0.07387277218945316
uniform,0,9,0.6655036071893689,0.15886399925520353,0.8733379549229695,0.08614981376400867,0.4262239572564503,0.15722651099658938,-2.805802815690557,2.805802815690557,11.419703562030739,0.041871254829765184,2.7755575615628914e-17,0.027423592954844644,0.07756641079892583
uniform,0,10,0.6498950320180902,0.15583782926245274,0.8567019069504351,0.08182566668876451,0.40483035235304127,0.19128902366351977,-2.6766921315163215,2.6766921315163215,11.426211923271927,0.029911171590099775,1.3877787807814457e-17,0.015608575171278671,0.08144473133887213
uniform,0,11,0.6458247147369715,0.1540001112080748,0.8465992472234997,0.08161380113390138,0.4037821530447123,0.20634014602865536,-2.645325004128889,2.645325004128889,11.37492286691602,0.01925826480212776,0.0,0.004070317281118729,0.08551696790581574
uniform,0,12,0.6420492075673685,0.15290065410976117,0.840555098654482,0.08096113739359853,0.40055311620765427,0.21495100136300435,-2.6096927632301217,2.6096927632301217,11.362048155469791,0.01810322896262785,1.3877787807814457e-17,0.003775507169602954,0.08979281630110653
